track_id,track_name,artist_names,album_name,duration_ms,popularity,explicit
37CoOXIsgF3NzbK1zHZetk,Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse),186066,70,False
1nThz7yEG2vbyI4UmInj5z,Number One - Bankai,"Shiro SAGISU, Hazel Fernandes",Number One - Bankai,276746,59,False
2rzafMh8q10vQGixcHupCh,Back From The Dead,House Of Pain,Same As It Ever Was,212306,53,True
2bfGNzdiRa1jXZRdfssSzR,Dirty Harry,"Gorillaz, Bootie Brown",Demon Days,230426,72,False
4K1DB7EedHPuVnhVrnvf2U,How I Could Just Kill a Man,Rage Against The Machine,Renegades,244693,60,True
68JYjVc7SMhvzRYSq29sbJ,The Robot With Human Hair pt. 2,Dance Gavin Dance,Whatever I Say Is Royal Ocean,345746,32,False
18zG4sti0gnHNnobLOBjmr,Won't Take Me Alive,Dirty Honey,Won't Take Me Alive,225596,44,False
6hqIXyo6GxydAnoI8XeIrV,Rusty Cage - Remastered 2016,Soundgarden,Badmotorfinger (25th Anniversary Remaster),266200,64,False
3b1IQflSLrgzYQPGFzI9cl,Es Por Ti,Juanes,Un Día Normal,250693,79,False
5FJBIe3cG4y9uUaIxuP4vH,Morfina (feat. Paloma Mami),"Prince Royce, Paloma Mami",LLAMADA PERDIDA,229474,56,False
2SHuJzIrFTWNkHjOTPwyxX,With The Fish (with $not & 6 Dogs),"Lyrical Lemonade, $NOT, 6 Dogs",All Is Yellow,131351,52,True
2X5SHv5ubRTNIgMxxCPYdo,Ceremony,Deftones,Ohms,207752,57,False
6GeNWEE6sxYf5hMO93gw42,Different Breed (feat. Swae Lee & Latto),"Mike WiLL Made-It, Swae Lee, Latto",Different Breed (feat. Swae Lee & Latto),175764,47,True
6geuGKb1jKb6TV8sGE5eaC,Back Foot,Dinosaur Pile-Up,Celebrity Mansions,188653,48,True
0oakHTPj4SF7Si0NAsLwi8,Las flores,Café Tacvba,Re,135133,66,False
4scqfHWE0J9dgdbjqstjS3,Kill Or Be Killed,Muse,Will Of The People,299060,52,False
7aewPE2qqi9OlnG4HSDZnO,Darkness,Rage Against The Machine,The Crow Original Motion Picture Soundtrack,222333,47,False
39MK3d3fonIP8Mz9oHCTBB,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Metro Boomin, Swae Lee, Lil Wayne, Offset",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),231746,76,False
4HSAJpNocVNJbwbQvtCMdO,Signs,"Snoop Dogg, Charlie Wilson, Justin Timberlake",R&G (Rhythm & Gangsta): The Masterpiece,236480,65,True
3GSMdtJphymHEsR8K9jT5Q,Locos,León Larregui,Voluma,177600,77,False
19WJ1TEz7RlwUrt7NFEW7t,Prospect (feat. Lil Baby),"iann dior, Lil Baby",I'm Gone,226313,60,True
5zH710lFSLtkHbMkslLDjR,Crazy On You,Heart,Dreamboat Annie,293440,71,False
79PaeaCZXyeu2C5XeSBzIv,Fate (with Young Thug & Swae Lee),"Mike WiLL Made-It, Young Thug, Swae Lee",Creed II: The Album,262885,44,True
3X6qK1LdMkSOhklwRa2ZfG,Danger (Spider) (Offset & JID),"Offset, JID",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),205266,63,False
4wRJHXHDJnKSPr9IVn0BFR,To The Bone (feat. YoungBoy Never Broke Again),"Quavo, Takeoff, YoungBoy Never Broke Again",Only Built For Infinity Links,283196,63,True
5fpizYGbi5IQoEraj6FP0R,Intergalactic - Remastered 2009,Beastie Boys,Hello Nasty (Deluxe Edition/Remastered),231493,69,False
5CT3zRd2FKM7F81KEacXIP,"This My Life (with Lil Tecca, The Kid LAROI & Lil Skies)","Lyrical Lemonade, Lil Tecca, The Kid LAROI, Lil Skies",All Is Yellow,169014,65,True
1nmZ8yqKkfooOuYvtFctDp,Heat Of The Moment,Asia,Asia,227893,69,False
2oaK4JLVnmRGIO9ytBE1bt,Dark Necessities,Red Hot Chili Peppers,The Getaway,302000,75,False
56sk7jBpZV0CD31G9hEU3b,Animal I Have Become,Three Days Grace,One-X,231400,78,False
5NnaDqigmS0gw970okC3dR,There is Nothing New Under the Sun,Slomosa,Slomosa,237574,37,False
34HgIvucTKJvDgzHVMaGLG,I Think I Left the Stove On,Hotel Ugly,I Think I Left the Stove On,202490,72,False
2J7IDapWgrILBNqwnv0Vr0,Boss Up,Lil Skies,Life of a Dark Rose,156456,45,True
47GRdmNagVyganN98PEjBb,Rumbera,Systema Solar,Rumbera,212520,16,False
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,Toto,235546,85,False
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,Rage Against The Machine,The Battle Of Los Angeles,206200,71,True
5D0cMtWT1lDXrEAM0ylifs,Neon,Patterns,Neon,249230,19,False
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator, Frank Ocean",Goblin,253386,77,True
40L8L7344pPMCjlZc19RQU,Down Rodeo,Rage Against The Machine,Evil Empire,320626,57,True
2zthTpUG0c2VBckCowNbRk,Runnin Out Of Time,Lil Skies,Out Ur Body Music,179200,45,True
59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),313573,81,True
